observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
observable_FeOut	preequilibration_adequate	simulation_adequate	0.248	0.5		
observable_FePlasma	preequilibration_adequate	simulation_adequate	1.358	0.5		0.7490000000000001
observable_FeRBC	preequilibration_adequate	simulation_adequate	19.051	0.5		9.058
observable_FeSpleen	preequilibration_adequate	simulation_adequate	0.669	0.5		0.18600000000000005
observable_FeLiver	preequilibration_adequate	simulation_adequate	11.902999999999999	0.5		3.636
observable_FeGut	preequilibration_adequate	simulation_adequate	0.255	0.5		0.12300000000000001
observable_FeRest	preequilibration_adequate	simulation_adequate	26.447	0.5		10.6601
observable_FeBM	preequilibration_adequate	simulation_adequate	40.069	0.5		13.463
observable_FeOut	preequilibration_adequate	simulation_adequate	0.5	1.0		
observable_FePlasma	preequilibration_adequate	simulation_adequate	0.266	1.0		0.12300000000000001
observable_FeRBC	preequilibration_adequate	simulation_adequate	47.953	1.0		17.864
observable_FeSpleen	preequilibration_adequate	simulation_adequate	1.089	1.0		0.47600000000000003
observable_FeLiver	preequilibration_adequate	simulation_adequate	11.626	1.0		5.3229999999999995
observable_FeGut	preequilibration_adequate	simulation_adequate	0.188	1.0		0.095
observable_FeRest	preequilibration_adequate	simulation_adequate	20.885	1.0		4.5586
observable_FeBM	preequilibration_adequate	simulation_adequate	17.493	1.0		6.528
observable_FeOut	preequilibration_adequate	simulation_adequate	1.979	4.0		
observable_FePlasma	preequilibration_adequate	simulation_adequate	0.191	4.0		0.128
observable_FeRBC	preequilibration_adequate	simulation_adequate	58.846000000000004	4.0		15.995999999999999
observable_FeSpleen	preequilibration_adequate	simulation_adequate	0.5579999999999999	4.0		0.47700000000000004
observable_FeLiver	preequilibration_adequate	simulation_adequate	10.432	4.0		1.8630000000000002
observable_FeGut	preequilibration_adequate	simulation_adequate	0.107	4.0		0.04
observable_FeRest	preequilibration_adequate	simulation_adequate	19.055	4.0		3.583
observable_FeBM	preequilibration_adequate	simulation_adequate	8.832	4.0		2.3369999999999997
observable_FeOut	preequilibration_adequate	simulation_adequate	3.44	7.0		
observable_FePlasma	preequilibration_adequate	simulation_adequate	0.092	7.0		0.019
observable_FeRBC	preequilibration_adequate	simulation_adequate	51.718999999999994	7.0		14.297
observable_FeSpleen	preequilibration_adequate	simulation_adequate	0.574	7.0		0.45799999999999996
observable_FeLiver	preequilibration_adequate	simulation_adequate	9.406	7.0		1.521
observable_FeGut	preequilibration_adequate	simulation_adequate	0.028999999999999998	7.0		0.006999999999999999
observable_FeRest	preequilibration_adequate	simulation_adequate	27.585	7.0		21.9988
observable_FeBM	preequilibration_adequate	simulation_adequate	7.155	7.0		2.347
observable_FeOut	preequilibration_adequate	simulation_adequate	6.76	14.0		
observable_FePlasma	preequilibration_adequate	simulation_adequate	0.293	14.0		0.023
observable_FeRBC	preequilibration_adequate	simulation_adequate	58.57	14.0		12.757
observable_FeSpleen	preequilibration_adequate	simulation_adequate	0.451	14.0		0.14300000000000002
observable_FeLiver	preequilibration_adequate	simulation_adequate	8.536	14.0		4.007
observable_FeGut	preequilibration_adequate	simulation_adequate	0.055	14.0		0.025
observable_FeRest	preequilibration_adequate	simulation_adequate	18.018	14.0		5.8134
observable_FeBM	preequilibration_adequate	simulation_adequate	7.317	14.0		4.904
observable_FeOut	preequilibration_adequate	simulation_adequate	13.065999999999999	28.0		
observable_FePlasma	preequilibration_adequate	simulation_adequate	0.3670000000000001	28.0		0.23800000000000002
observable_FeRBC	preequilibration_adequate	simulation_adequate	64.458	28.0		8.366
observable_FeSpleen	preequilibration_adequate	simulation_adequate	0.512	28.0		0.153
observable_FeLiver	preequilibration_adequate	simulation_adequate	5.256	28.0		1.5919999999999999
observable_FeGut	preequilibration_adequate	simulation_adequate	0.031	28.0		0.015
observable_FeRest	preequilibration_adequate	simulation_adequate	12.583	28.0		5.1587
observable_FeBM	preequilibration_adequate	simulation_adequate	3.727	28.0		1.074
observable_FeOut	preequilibration_iron-deficient	simulation_iron-deficient	0.25	0.5		12.5907
observable_FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	1.743	0.5		1.006
observable_FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	27.409000000000002	0.5		5.4220000000000015
observable_FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	1.436	0.5		0.44299999999999995
observable_FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	10.940999999999999	0.5		4.297
observable_FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.18100000000000002	0.5		0.09699999999999999
observable_FeRest	preequilibration_iron-deficient	simulation_iron-deficient	27.345	0.5		5.6199
observable_FeBM	preequilibration_iron-deficient	simulation_iron-deficient	30.695	0.5		8.824
observable_FeOut	preequilibration_iron-deficient	simulation_iron-deficient	0.4970000000000001	1.0		28.4569
observable_FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.805	1.0		0.5820000000000001
observable_FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	58.581	1.0		26.46
observable_FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.434	1.0		0.314
observable_FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	8.666	1.0		4.91
observable_FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.076	1.0		0.028999999999999998
observable_FeRest	preequilibration_iron-deficient	simulation_iron-deficient	25.221	1.0		8.8046
observable_FeBM	preequilibration_iron-deficient	simulation_iron-deficient	5.72	1.0		2.7560000000000002
observable_FeOut	preequilibration_iron-deficient	simulation_iron-deficient	1.979	4.0		14.2662
observable_FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.27899999999999997	4.0		0.059000000000000004
observable_FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	65.495	4.0		12.517999999999999
observable_FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.07200000000000001	4.0		0.122
observable_FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	7.934	4.0		2.7939999999999996
observable_FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.081	4.0		0.03
observable_FeRest	preequilibration_iron-deficient	simulation_iron-deficient	20.576999999999998	4.0		6.0748
